station,strike,dip,rakes,shear,comments,recorder
FL17-78,41,27,,NL,offsets flow top,seth
FL17-78,352,27,,T,,seth
FL17-78,345,53,,NR,offsets flow top,seth
FL17-78,24,45,,NL,,seth
FL17-78,32,69,30,,,seth
FL17-80,44,65,156,LL,,seth
FL17-80,15,67,10,,,seth
FL17-80,62,63,140,LL,,seth
FL17-80,69,45,71,N,,seth
FL17-80,357,45,87,N,,seth
FL17-80,191,78,76,N,"red, HW of B",seth
FL17-80,15,49,98,N,FW of B,seth
FL17-80,14,33,93,N,"red, FW of B",seth
TJ17-39,14,88,140,,"photo, 1m",seth
TJ17-39,136,60,,,in dike,seth
TJ17-39,4,81,32,LL,,seth
TJ17-39,347,67,,,,seth
TJ17-39,15,79,41,,red,seth
TJ17-39,187,66,110,N,red,seth
TJ17-39,336,86,,,,seth
TJ17-39,20,83,,,,seth
TJ17-39,110,58,162,,,seth
TJ17-39,185,84,,,1m,seth
TJ17-39,33,67,48,NL,,seth
TJ17-39,170,77,,,,seth
TJ17-39,62,68,31,RL,"red, b.z.ish",seth
TJ17-39,135,53,,,,seth
TJ17-39,20,78,,,no gouge,seth
TJ17-39,341,80,,,no gouge,seth
TJ17-39,225,67,,,,seth
TJ17-39,180,82,,LL,,seth
TJ17-39,111,84,,,,seth
TJ17-39,342,64,80,N,red,seth
TJ17-39,169,79,,,discrete,seth
TJ17-39,34,60,,,,seth
TJ17-39,16,53,62,T,,seth
TJ17-39,288,54,115,T,red,seth
TJ17-39,214,76,175,LL,,seth
TJ17-39,160,77,,,,seth
TJ14-01,156,81,151,LL,,sarah
TJ14-02,149,80,162,RL,not mineralized,sarah
TJ14-02,180,82,172,LL,wite,sarah
TJ14-02,155,88,20,LL,"white, pink",sarah
TJ14-02,345,85,9,,white,sarah
TJ14-02,205,64,,,10cm crush zone,sarah
TJ14-02,65,61,,,20cm crush zone,sarah
TJ14-02,9,88,0,LL,,sarah
TJ14-02,135,85,110,RL,pink,sarah
TJ14-02,174,85,162,LL,"pink, iffy",sarah
TJ14-03,122,64,167,RL,"red, curves into below",sarah
TJ14-03,151,75,12,RL,"red, curved",sarah
TJ14-03,147,87,12,RL,,sarah
TJ14-03,125,84,19,RL,,sarah
TJ14-04,81,54,46,NL,,sarah
TJ14-04,145,86,0,RL,,sarah
TJ14-04,125,90,4,RL,,sarah
TJ14-04,124,63,0,RL,red,sarah
TJ14-05,126,63,164,RL,,sarah
TJ14-05,355,78,25,LL,iffy,sarah
TJ14-05,226,42,107,N,red,sarah
TJ14-05,340,86,23,LL,red,sarah
TJ14-05,221,88,98,T,red,sarah
TJ14-05,44,81,34,TL,,sarah
TJ14-07,60,80,26,,white,sarah
TJ14-07,270,83,168,RL,white,sarah
TJ14-07,238,88,,,10cm,sarah
TJ14-09,274,70,12,,,sarah
TJ14-09,183,74,165,RL,,sarah
TJ14-10,44,70,27,LL,polished,sarah
TJ14-11,84,71,,,4 photos,sarah
TJ14-11,32,76,,LL,photo,sarah
FL14-02,55,56,70,,,sarah
FL14-12,215,80,,,,sarah
FL14-12,90,90,,LL,cuts dike,sarah
TR17-01,30,68,,,,sarah
TR17-01,194,72,,,subhorizontal slicks,sarah
TR17-01,330,80,,,,sarah
TJ16-25,75,84,,LL,,sarah
TJ16-25,67,79,,LL,,sarah
TJ16-25,240,80,,LL,,sarah
FL16-66A,40,80,,,,sarah
FL16-66A,214,88,,,,sarah
FL16-66A,164,82,,,,sarah
FL16-66A,0,78,,,,sarah
FL16-66A,47,58,,,big,sarah
FL16-66A,356,78,55,TR,,sarah
FL16-66A,42,62,,,,sarah
FL16-66A,62,56,,,,sarah
FL16-66A,359,80,,,,sarah
FL16-66A,75,69,,,,sarah
FL16-66B,88,65,168,RL,40cm,sarah
FL16-66B,120,68,158,LL,,sarah
FL16-66B,310,90,33,LL,,sarah
FL16-66B,42,74,16,LL,photo,sarah
FL16-66B,313,70,149,RL,,sarah
FL16-66B,31,74,172,,,sarah
FL16-66B,0,80,,,1m,sarah
FL16-66B,80,73,,,gouge,sarah
